#,,,,,,,,
#,,,,,,,,
# US Geological Survey,,,,,,,,
# retrieved: 2023-10-09 10:15:14 EDT,,,,,,,,
# URL: https://nwis.waterdata.usgs.gov/nwis/qwdata,,,,,,,,
#,,,,,,,,
"# The Site File stores location and general information about groundwater,",,,,,,,,
"# surface water, and meteorological sites",,,,,,,,
# for sites in USA.,,,,,,,,
#,,,,,,,,
# The following selected fields are included in this output:,,,,,,,,
#,,,,,,,,
#  agency_cd       -- Agency,,,,,,,,
#  site_no         -- Site identification number,,,,,,,,
#  station_nm      -- Site name,,,,,,,,
#  site_tp_cd      -- Site type,,,,,,,,
#  dec_lat_va      -- Decimal latitude,,,,,,,,
#  dec_long_va     -- Decimal longitude,,,,,,,,
#  coord_acy_cd    -- Latitude-longitude accuracy,,,,,,,,
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum,,,,,,,,
#  well_depth_va   -- Well depth,,,,,,,,
#,,,,,,,,
#,,,,,,,,
# query started 2023-10-09 10:15:14 EDT,,,,,,,,
#,,,,,,,,
# there are 4022 sites matching the search criteria.,,,,,,,,
#,,,,,,,,
#,,,,,,,,
agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,well_depth_va
USGS,412543070340801,MA-OBW   33,GW,41.42872466,-70.568361,S,NAD83,49.5
USGS,412543070340802,MA-OBW   34,GW,41.42872466,-70.568361,S,NAD83,89.1
USGS,412543070340803,MA-OBW   35,GW,41.42872466,-70.568361,S,NAD83,132
USGS,412640070341001,MA-OBW    4,GW,41.4445573,-70.56891677,S,NAD83,55
USGS,412648070371201,MA-TOW    2,GW,41.44677865,-70.6194729,S,NAD83,225
USGS,413200070395201,MA-FSW  196,GW,41.53344207,-70.663919,S,NAD83,140
USGS,413229070372701,MA-FSW  190,GW,41.54149796,-70.6236408,S,NAD83,94
USGS,413229070372702,MA-FSW  191,GW,41.54149796,-70.6236408,S,NAD83,62
USGS,413229070372703,MA-FSW  192,GW,41.54149796,-70.6236408,S,NAD83,49
USGS,413229070372704,MA-FSW  193,GW,41.54149796,-70.6236408,S,NAD83,21
USGS,413308070301401,MA-MIW   22,GW,41.55233258,-70.5033613,S,NAD83,92.8
USGS,413308070301402,MA-MIW   23,GW,41.55233258,-70.5033613,S,NAD83,77
USGS,413308070301403,MA-MIW   24,GW,41.55233258,-70.5033613,S,NAD83,56
USGS,413308070301404,MA-MIW   25,GW,41.55233258,-70.5033613,S,NAD83,23
USGS,413311070352101,MA-FSW  771-M01-01PT,GW,41.55323706,-70.5886126,H,NAD83,6.03
USGS,413311070352102,MA-FSW  771-M01-02GNT,GW,41.55323706,-70.5886126,H,NAD83,7.53
USGS,413311070352103,MA-FSW  771-M01-03RT,GW,41.55323706,-70.5886126,H,NAD83,9.03
USGS,413311070352104,MA-FSW  771-M01-04BUT,GW,41.55323706,-70.5886126,H,NAD83,10.53
USGS,413311070352105,MA-FSW  771-M01-05BKT,GW,41.55323706,-70.5886126,H,NAD83,12.03
USGS,413311070352106,MA-FSW  771-M01-06WT,GW,41.55323706,-70.5886126,H,NAD83,13.53
USGS,413311070352107,MA-FSW  771-M01-07O,GW,41.55323706,-70.5886126,H,NAD83,15.03
USGS,413311070352108,MA-FSW  771-M01-08GY,GW,41.55323706,-70.5886126,H,NAD83,16.53
USGS,413311070352109,MA-FSW  771-M01-09Y,GW,41.55323706,-70.5886126,H,NAD83,18.04
USGS,413311070352110,MA-FSW  771-M01-10P,GW,41.55323706,-70.5886126,H,NAD83,19.54
USGS,413311070352111,MA-FSW  771-M01-11GN,GW,41.55323706,-70.5886126,H,NAD83,22.04
USGS,413311070352112,MA-FSW  771-M01-12R,GW,41.55323706,-70.5886126,H,NAD83,24.54
USGS,413311070352113,MA-FSW  771-M01-13BU,GW,41.55323706,-70.5886126,H,NAD83,27.49
USGS,413311070352114,MA-FSW  771-M01-14BK,GW,41.55323706,-70.5886126,H,NAD83,31.49
USGS,413311070352115,MA-FSW  771-M01-15W,GW,41.55323706,-70.5886126,H,NAD83,35.99
USGS,413312070351401,MA-FSW  772-M01-01PT,GW,41.55342319,-70.5866042,H,NAD83,13.14
USGS,413312070351402,MA-FSW  772-M01-02GNT,GW,41.55342319,-70.5866042,H,NAD83,14.69
USGS,413312070351403,MA-FSW  772-M01-03RT,GW,41.55342319,-70.5866042,H,NAD83,16.19
USGS,413312070351404,MA-FSW  772-M01-04BUT,GW,41.55342319,-70.5866042,H,NAD83,17.69
USGS,413312070351405,MA-FSW  772-M01-05BKT,GW,41.55342319,-70.5866042,H,NAD83,19.19
USGS,413312070351406,MA-FSW  772-M01-06WT,GW,41.55342319,-70.5866042,H,NAD83,20.69
USGS,413312070351407,MA-FSW  772-M01-07O,GW,41.55342319,-70.5866042,H,NAD83,22.19
USGS,413312070351408,MA-FSW  772-M01-08GY,GW,41.55342319,-70.5866042,H,NAD83,23.69
USGS,413312070351409,MA-FSW  772-M01-09Y,GW,41.55342319,-70.5866042,H,NAD83,25.19
USGS,413312070351410,MA-FSW  772-M01-10P,GW,41.55342319,-70.5866042,H,NAD83,26.69
USGS,413312070351411,MA-FSW  772-M01-11GN,GW,41.55342319,-70.5866042,H,NAD83,29.19
USGS,413312070351412,MA-FSW  772-M01-12R,GW,41.55342319,-70.5866042,H,NAD83,31.69
USGS,413312070351413,MA-FSW  772-M01-13BU,GW,41.55342319,-70.5866042,H,NAD83,34.74
USGS,413312070351414,MA-FSW  772-M01-14BK,GW,41.55342319,-70.5866042,H,NAD83,38.74
USGS,413312070351415,MA-FSW  772-M01-15W,GW,41.55342319,-70.5866042,H,NAD83,43.24
USGS,413313070352601,MA-FSW  770-M01-01PT,GW,41.5536787,-70.5899126,H,NAD83,2
USGS,413313070352602,MA-FSW  770-M01-02GNT,GW,41.5536787,-70.5899126,H,NAD83,3
USGS,413313070352603,MA-FSW  770-M01-03RT,GW,41.5536787,-70.5899126,H,NAD83,4
USGS,413313070352604,MA-FSW  770-M01-04BUT,GW,41.5536787,-70.5899126,H,NAD83,5
USGS,413313070352605,MA-FSW  770-M01-05BKT,GW,41.5536787,-70.5899126,H,NAD83,6
USGS,413313070352606,MA-FSW  770-M01-06WT,GW,41.5536787,-70.5899126,H,NAD83,7
USGS,413313070352607,MA-FSW  770-M01-07O,GW,41.5536787,-70.5899126,H,NAD83,8.5
USGS,413313070352608,MA-FSW  770-M01-08GY,GW,41.5536787,-70.5899126,H,NAD83,10
USGS,413313070352609,MA-FSW  770-M01-09Y,GW,41.5536787,-70.5899126,H,NAD83,11.5
USGS,413313070352610,MA-FSW  770-M01-10P,GW,41.5536787,-70.5899126,H,NAD83,13
USGS,413313070352611,MA-FSW  770-M01-11GN,GW,41.5536787,-70.5899126,H,NAD83,15
USGS,413313070352612,MA-FSW  770-M01-12R,GW,41.5536787,-70.5899126,H,NAD83,17.5
USGS,413313070352613,MA-FSW  770-M01-13BU,GW,41.5536787,-70.5899126,H,NAD83,20.5
USGS,413313070352614,MA-FSW  770-M01-14BK,GW,41.5536787,-70.5899126,H,NAD83,23.5
USGS,413313070352615,MA-FSW  770-M01-15W,GW,41.5536787,-70.5899126,H,NAD83,27
USGS,413315070352302,MA-FSW  767-M01-02GNT,GW,41.55434258,-70.58933207,H,NAD83,9.33
USGS,413315070352303,MA-FSW  767-M01-03RT,GW,41.55434258,-70.58933207,H,NAD83,10.83
USGS,413315070352304,MA-FSW  767-M01-04BUT,GW,41.55434258,-70.58933207,H,NAD83,12.33
USGS,413315070352305,MA-FSW  767-M01-05BKT,GW,41.55434258,-70.58933207,H,NAD83,13.83
USGS,413315070352306,MA-FSW  767-M01-06WT,GW,41.55434258,-70.58933207,H,NAD83,15.33
USGS,413315070352307,MA-FSW  767-M01-07O,GW,41.55434258,-70.58933207,H,NAD83,16.83
USGS,413315070352308,MA-FSW  767-M01-08GY,GW,41.55434258,-70.58933207,H,NAD83,18.33
USGS,413315070352309,MA-FSW  767-M01-09Y,GW,41.55434258,-70.58933207,H,NAD83,19.83
USGS,413315070352310,MA-FSW  767-M01-10P,GW,41.55434258,-70.58933207,H,NAD83,21.33
USGS,413315070352311,MA-FSW  767-M01-11GN,GW,41.55434258,-70.58933207,H,NAD83,23.83
USGS,413315070352312,MA-FSW  767-M01-12R,GW,41.55434258,-70.58933207,H,NAD83,26.33
USGS,413315070352313,MA-FSW  767-M01-13BU,GW,41.55434258,-70.58933207,H,NAD83,29.35
USGS,413315070352314,MA-FSW  767-M01-14BK,GW,41.55434258,-70.58933207,H,NAD83,33.35
USGS,413315070352315,MA-FSW  767-M01-15W,GW,41.55434258,-70.58933207,H,NAD83,37.85
USGS,413316070351001,MA-FSW  769-M01-01PT,GW,41.55454818,-70.5855015,H,NAD83,17.1
USGS,413316070351002,MA-FSW  769-M01-02GNT,GW,41.55454818,-70.5855015,H,NAD83,18.1
USGS,413316070351003,MA-FSW  769-M01-03RT,GW,41.55454818,-70.5855015,H,NAD83,19.1
USGS,413316070351004,MA-FSW  769-M01-04BUT,GW,41.55454818,-70.5855015,H,NAD83,20.1
USGS,413316070351005,MA-FSW  769-M01-05BKT,GW,41.55454818,-70.5855015,H,NAD83,21.1
USGS,413316070351006,MA-FSW  769-M01-06WT,GW,41.55454818,-70.5855015,H,NAD83,22.1
USGS,413316070351007,MA-FSW  769-M01-07O,GW,41.55454818,-70.5855015,H,NAD83,23.56
USGS,413316070351008,MA-FSW  769-M01-08GY,GW,41.55454818,-70.5855015,H,NAD83,25.06
USGS,413316070351009,MA-FSW  769-M01-09Y,GW,41.55454818,-70.5855015,H,NAD83,26.56
USGS,413316070351010,MA-FSW  769-M01-10P,GW,41.55454818,-70.5855015,H,NAD83,28.06
USGS,413316070351011,MA-FSW  769-M01-11GN,GW,41.55454818,-70.5855015,H,NAD83,30.06
USGS,413316070351012,MA-FSW  769-M01-12R,GW,41.55454818,-70.5855015,H,NAD83,32.56
USGS,413316070351013,MA-FSW  769-M01-13BU,GW,41.55454818,-70.5855015,H,NAD83,35.56
USGS,413316070351014,MA-FSW  769-M01-14BK,GW,41.55454818,-70.5855015,H,NAD83,38.56
USGS,413316070351015,MA-FSW  769-M01-15W,GW,41.55454818,-70.5855015,H,NAD83,42.06
USGS,413316070351601,MA-FSW  768-M01-01PT,GW,41.55452039,-70.587132,H,NAD83,14.57
USGS,413316070351602,MA-FSW  768-M01-02GNT,GW,41.55452039,-70.587132,H,NAD83,16.12
USGS,413316070351603,MA-FSW  768-M01-03RT,GW,41.55452039,-70.587132,H,NAD83,17.62
USGS,413316070351604,MA-FSW  768-M01-04BUT,GW,41.55452039,-70.587132,H,NAD83,19.12
USGS,413316070351605,MA-FSW  768-M01-05BKT,GW,41.55452039,-70.587132,H,NAD83,20.62
USGS,413316070351606,MA-FSW  768-M01-06WT,GW,41.55452039,-70.587132,H,NAD83,22.12
USGS,413316070351607,MA-FSW  768-M01-07O,GW,41.55452039,-70.587132,H,NAD83,23.62
USGS,413316070351608,MA-FSW  768-M01-08GY,GW,41.55452039,-70.587132,H,NAD83,25.12
USGS,413316070351609,MA-FSW  768-M01-09Y,GW,41.55452039,-70.587132,H,NAD83,26.61
USGS,413316070351610,MA-FSW  768-M01-10P,GW,41.55452039,-70.587132,H,NAD83,28.11
USGS,413316070351611,MA-FSW  768-M01-11GN,GW,41.55452039,-70.587132,H,NAD83,30.61
USGS,413316070351612,MA-FSW  768-M01-12R,GW,41.55452039,-70.587132,H,NAD83,33.11
USGS,413316070351613,MA-FSW  768-M01-13BU,GW,41.55452039,-70.587132,H,NAD83,36.04
USGS,413316070351614,MA-FSW  768-M01-14BK,GW,41.55452039,-70.587132,H,NAD83,40.04
USGS,413316070351615,MA-FSW  768-M01-15W,GW,41.55452039,-70.587132,H,NAD83,44.54
USGS,413319070351801,MA-FSW  765-M01-01PT,GW,41.5555231,-70.587807,H,NAD83,17.1
USGS,413319070351802,MA-FSW  765-M01-02GNT,GW,41.5555231,-70.587807,H,NAD83,18.65
USGS,413319070351803,MA-FSW  765-M01-03RT,GW,41.5555231,-70.587807,H,NAD83,20.15
USGS,413319070351804,MA-FSW  765-M01-04BUT,GW,41.5555231,-70.587807,H,NAD83,21.65
USGS,413319070351805,MA-FSW  765-M01-05BKT,GW,41.5555231,-70.587807,H,NAD83,23.15
USGS,413319070351806,MA-FSW  765-M01-06WT,GW,41.5555231,-70.587807,H,NAD83,24.65
USGS,413319070351807,MA-FSW  765-M01-07O,GW,41.5555231,-70.587807,H,NAD83,26.15
USGS,413319070351808,MA-FSW  765-M01-08GY,GW,41.5555231,-70.587807,H,NAD83,27.65
USGS,413319070351809,MA-FSW  765-M01-09Y,GW,41.5555231,-70.587807,H,NAD83,29.24
USGS,413319070351810,MA-FSW  765-M01-10P,GW,41.5555231,-70.587807,H,NAD83,30.74
USGS,413319070351811,MA-FSW  765-M01-11GN,GW,41.5555231,-70.587807,H,NAD83,33.24
USGS,413319070351812,MA-FSW  765-M01-12R,GW,41.5555231,-70.587807,H,NAD83,35.74
USGS,413319070351813,MA-FSW  765-M01-13BU,GW,41.5555231,-70.587807,H,NAD83,38.7
USGS,413319070351814,MA-FSW  765-M01-14BK,GW,41.5555231,-70.587807,H,NAD83,42.7
USGS,413319070351815,MA-FSW  765-M01-15W,GW,41.5555231,-70.587807,H,NAD83,47.2
USGS,413319070352101,MA-FSW  760-M01-01PT,GW,41.555387,-70.5886404,S,NAD83,12.42
USGS,413319070352102,MA-FSW  760-M01-02GNT,GW,41.555387,-70.5886404,S,NAD83,15.42
USGS,413319070352103,MA-FSW  760-M01-03RT,GW,41.555387,-70.5886404,S,NAD83,18.42
USGS,413319070352104,MA-FSW  760-M01-04BUT,GW,41.555387,-70.5886404,S,NAD83,21.45
USGS,413319070352105,MA-FSW  760-M01-05BKT,GW,41.555387,-70.5886404,S,NAD83,24.45
USGS,413319070352106,MA-FSW  760-M01-06WT,GW,41.555387,-70.5886404,S,NAD83,27.45
USGS,413319070352107,MA-FSW  760-M01-07O,GW,41.555387,-70.5886404,S,NAD83,30.5
USGS,413319070352108,MA-FSW  760-M01-08GY,GW,41.555387,-70.5886404,S,NAD83,33.5
USGS,413319070352109,MA-FSW  760-M01-09Y,GW,41.555387,-70.5886404,S,NAD83,36.5
USGS,413319070352111,MA-FSW  760-M01-11GN,GW,41.555387,-70.5886404,S,NAD83,42.47
USGS,413319070352112,MA-FSW  760-M01-12R,GW,41.555387,-70.5886404,S,NAD83,45.47
USGS,413319070352113,MA-FSW  760-M01-13BU,GW,41.555387,-70.5886404,S,NAD83,48.47
USGS,413319070352114,MA-FSW  760-M01-14BK,GW,41.555387,-70.5886404,S,NAD83,52.94
USGS,413319070352115,MA-FSW  760-M01-15W,GW,41.555387,-70.5886404,S,NAD83,56.44
USGS,413319070352901,MA-FSW  764-M01-01PT,GW,41.5552592,-70.5908377,H,NAD83,3.9
USGS,413319070352902,MA-FSW  764-M01-02GNT,GW,41.5552592,-70.5908377,H,NAD83,4.9
USGS,413319070352903,MA-FSW  764-M01-03RT,GW,41.5552592,-70.5908377,H,NAD83,5.9
USGS,413319070352904,MA-FSW  764-M01-04BUT,GW,41.5552592,-70.5908377,H,NAD83,6.9
USGS,413319070352905,MA-FSW  764-M01-05BKT,GW,41.5552592,-70.5908377,H,NAD83,7.9
USGS,413319070352906,MA-FSW  764-M01-06WT,GW,41.5552592,-70.5908377,H,NAD83,8.9
USGS,413319070352907,MA-FSW  764-M01-07O,GW,41.5552592,-70.5908377,H,NAD83,10.4
USGS,413319070352908,MA-FSW  764-M01-08GY,GW,41.5552592,-70.5908377,H,NAD83,11.9
USGS,413319070352909,MA-FSW  764-M01-09Y,GW,41.5552592,-70.5908377,H,NAD83,13.4
USGS,413319070352910,MA-FSW  764-M01-10P,GW,41.5552592,-70.5908377,H,NAD83,14.9
USGS,413319070352911,MA-FSW  764-M01-11GN,GW,41.5552592,-70.5908377,H,NAD83,16.9
USGS,413319070352912,MA-FSW  764-M01-12R,GW,41.5552592,-70.5908377,H,NAD83,19.4
USGS,413319070352913,MA-FSW  764-M01-13BU,GW,41.5552592,-70.5908377,H,NAD83,22.45
USGS,413319070352914,MA-FSW  764-M01-14BK,GW,41.5552592,-70.5908377,H,NAD83,25.45
USGS,413319070352915,MA-FSW  764-M01-15W,GW,41.5552592,-70.5908377,H,NAD83,28.95
USGS,413321070350901,MA-FSW  766-M01-01PT,GW,41.5558426,-70.585282,H,NAD83,17.04
USGS,413321070350902,MA-FSW  766-M01-02GNT,GW,41.5558426,-70.585282,H,NAD83,18.04
USGS,413321070350903,MA-FSW  766-M01-03RT,GW,41.5558426,-70.585282,H,NAD83,19.04
USGS,413321070350904,MA-FSW  766-M01-04BUT,GW,41.5558426,-70.585282,H,NAD83,20.04
USGS,413321070350905,MA-FSW  766-M01-05BKT,GW,41.5558426,-70.585282,H,NAD83,21.04
USGS,413321070350906,MA-FSW  766-M01-06WT,GW,41.5558426,-70.585282,H,NAD83,22.04
USGS,413321070350907,MA-FSW  766-M01-07O,GW,41.5558426,-70.585282,H,NAD83,23.52
USGS,413321070350908,MA-FSW  766-M01-08GY,GW,41.5558426,-70.585282,H,NAD83,25.02
USGS,413321070350909,MA-FSW  766-M01-09Y,GW,41.5558426,-70.585282,H,NAD83,26.52
USGS,413321070350910,MA-FSW  766-M01-10P,GW,41.5558426,-70.585282,H,NAD83,28.02
USGS,413321070350911,MA-FSW  766-M01-11GN,GW,41.5558426,-70.585282,H,NAD83,30.02
USGS,413321070350912,MA-FSW  766-M01-12R,GW,41.5558426,-70.585282,H,NAD83,32.52
USGS,413321070350913,MA-FSW  766-M01-13BU,GW,41.5558426,-70.585282,H,NAD83,35.57
USGS,413321070350914,MA-FSW  766-M01-14BK,GW,41.5558426,-70.585282,H,NAD83,38.57
USGS,413321070350915,MA-FSW  766-M01-15W,GW,41.5558426,-70.585282,H,NAD83,42.07
USGS,413322070352602,MA-FSW  757-M01-02GNT,GW,41.5561675,-70.5902988,1,NAD83,8.75
USGS,413322070352603,MA-FSW  757-M01-03RT,GW,41.5561675,-70.5902988,1,NAD83,11.75
USGS,413322070352605,MA-FSW  757-M01-05BKT,GW,41.5561675,-70.5902988,1,NAD83,17.79
USGS,413322070352606,MA-FSW  757-M01-06WT,GW,41.5561675,-70.5902988,1,NAD83,20.79
USGS,413322070352607,MA-FSW  757-M01-07O,GW,41.5561675,-70.5902988,1,NAD83,23.79
USGS,413322070352608,MA-FSW  757-M01-08GY,GW,41.5561675,-70.5902988,1,NAD83,26.79
USGS,413322070352609,MA-FSW  757-M01-09Y,GW,41.5561675,-70.5902988,1,NAD83,29.79
USGS,413322070352610,MA-FSW  757-M01-10P,GW,41.5561675,-70.5902988,1,NAD83,32.79
USGS,413322070352611,MA-FSW  757-M01-11GN,GW,41.5561675,-70.5902988,1,NAD83,36.79
USGS,413322070352612,MA-FSW  757-M01-12R,GW,41.5561675,-70.5902988,1,NAD83,40.79
