OID_,SOURCE_ID,SITE_NAME,TOWN,REGION,LATITUDE,LONGITUDE,TYPE,ZII_NUM,PWS_ID
1942,2179018-01G,MENDON VILLAGE,MENDON,2,42.105114800000003,-71.552124989999996,TNC,0,2179018
1943,1192007-01G,MONTAGUE INN,MONTAGUE,1,42.525172040000001,-72.528685249999995,TNC,0,1192007
1944,4239057-49G,DCR MYLES STANDISH STATE FOREST,CARVER,4,41.870075880000002,-70.660514440000000,TNC,0,4239057
1945,4239057-48G,DCR MYLES STANDISH STATE FOREST,CARVER,4,41.869860080000002,-70.659960310000002,TNC,0,4239057
1946,4239057-47G,DCR MYLES STANDISH STATE FOREST,CARVER,4,41.869619229999998,-70.659980480000002,TNC,0,4239057
1947,4239057-46G,DCR MYLES STANDISH STATE FOREST,CARVER,4,41.869311719999999,-70.659887319999996,TNC,0,4239057
1948,4239057-45G,DCR MYLES STANDISH STATE FOREST,CARVER,4,41.868923350000003,-70.660092719999994,TNC,0,4239057
1949,2226013-01G,19 INDUSTRIAL PARK ROAD,OXFORD,2,42.086263580000001,-71.860590209999998,NTNC,0,2226013
1950,2002000-17G,CONANT II GP WELL 4,ACTON,2,42.489299010000003,-71.419903629999993,GW,176,2002000
1951,4020020-01G,WEST PARISH OF  BARNSTABLE,BARNSTABLE,4,41.697906869999997,-70.383781749999997,NTNC,0,4020020
1952,3301038-01G,TYNGSBORO BUSINESS PARK LOT 1,TYNGSBOROUGH,3,42.685539439999999,-71.445665500000004,NTNC,0,3301038
1953,2097000-03S,WACHUSETT LAKE,FITCHBURG,2,42.515071949999999,-71.882967669999999,ESW,0,2097000
1954,4239058-52G,DCR MYLES STANDISH STATE FOREST,CARVER,4,41.889241990000002,-70.687197170000005,TNC,0,4239058
1955,4239058-50G,DCR MYLES STANDISH STATE FOREST,CARVER,4,41.889388680000003,-70.686574840000006,TNC,0,4239058
1956,4239058-49G,DCR MYLES STANDISH STATE FOREST,CARVER,4,41.889615139999997,-70.686262780000007,TNC,0,4239058
1957,4239058-48G,DCR MYLES STANDISH STATE FOREST,CARVER,4,41.889890919999999,-70.686243140000002,TNC,0,4239058
1958,4239058-47G,DCR MYLES STANDISH STATE FOREST,CARVER,4,41.890051399999997,-70.686025700000002,TNC,0,4239058
1959,4334088-01G,WELL #1,WESTPORT,4,41.580713860000003,-71.094467929999993,GW,0,4334088
1960,2257004-02G,DCR RUTLAND STATE PARK,RUTLAND,2,42.360313130000002,-71.994387110000005,TNC,0,2257004
1961,4088000-08G,GP WELL #4R,EASTON,4,42.055559719999998,-71.092842880000006,GW,287,4088000
1962,2147012-01G,DUNKIN DONUTS LANCASTER,LANCASTER,2,42.507295710000001,-71.696102620000005,TNC,0,2147012
1963,2241017-01G,PRINCETON TOWN CAMPUS,PRINCETON,2,42.449811140000001,-71.878540680000000,TNC,0,2241017
1964,4351000-05G,GP WELL  4,YARMOUTH,4,41.671222669999999,-70.203353739999997,GW,173,4351000
1965,4072005-01G,DCR DEMAREST LLOYD STATE PARK,DARTMOUTH,4,41.526199179999999,-70.988471989999994,TNC,0,4072005
1966,4167000-08G,DUSTIN WELL  7,MANSFIELD,4,42.015451409999997,-71.170692410000001,GW,716,4167000
1967,2034004-05G,THE INTERNATIONAL,BOLTON,2,42.439861600000000,-71.643634430000006,NTNC,0,2034004
1968,2080000-02G,SCHOFIELD AVENUE #2,DUDLEY,2,42.038767759999999,-71.892620410000006,GW,484,2080000
1969,3301027-02G,"ROCK WELL 2, PIT",TYNGSBOROUGH,3,42.654509869999998,-71.432545099999999,GW,0,3301027
1970,4052019-01G,GEORGIOS PIZZA,CARVER,4,41.888834780000003,-70.769889780000000,TNC,0,4052019
1971,4239000-09G,SOUTH POND WELL  1,PLYMOUTH,4,41.911122149999997,-70.675367699999995,GW,197,4239000
1972,2328000-05G,OTIS ST. WELL,WESTBOROUGH,2,42.275487620000000,-71.655156590000004,GW,460,2328000
1973,3330000-19G,COUNTRY RD. 2 GP WELL,WESTFORD,3,42.575145910000003,-71.468459210000006,GW,658,3330000
1974,2054022-01G,WHISPERING PINES,CHARLTON,2,42.180524599999998,-71.964549919999996,TNC,0,2054022
1975,1053019-01G,HILLTOP MOTEL,CHARLEMONT,1,42.621776779999998,-72.767196870000006,TNC,0,1053019
1976,4167000-12G,MORRISON WELL 10,MANSFIELD,4,42.012690069999998,-71.284231199999994,GW,514,4167000
1977,4052014-03G,CRANBERRYACRES JELLYSTONE PARK,CARVER,4,41.858067050000002,-70.729224689999995,TNC,0,4052014
